Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_WHITE, se_WHITE, t_WHITE, est_HISP, se_HISP, t_HISP, est_BLWPOV, se_BLWPOV, t_BLWPOV, est_MEDINC, se_MEDINC, t_MEDINC, est_UPTOHIGH, se_UPTOHIGH, t_UPTOHIGH, est_INS, se_INS, t_INS, est_MEDICARE, se_MEDICARE, t_MEDICARE, est_MEDICAID, se_MEDICAID, t_MEDICAID, est_Male, se_Male, t_Male, est_POPDEN, se_POPDEN, t_POPDEN, y, yhat, residual, std_residual, localR2, influence, CooksD
 1739, 12475, 2008885.891, 7513651.076,     64867.674563,     51173.978296,         1.267591,      2387.497863,      6405.530587,         0.372724,      3612.332351,      8572.009813,         0.421410,     -9452.899406,     12508.439919,        -0.755722,     -9666.408589,     10045.881569,        -0.962226,      7051.691672,      8874.445438,         0.794606,      3459.515967,     11292.040698,         0.306368,    -14905.997974,     30631.707240,        -0.486620,     -3685.117875,     12378.311356,        -0.297708,      4508.560571,     13429.400651,         0.335723,     -9057.075232,      1699.203025,        -5.330190,      3293.852713,      -437.044568,      3730.897281,         0.463997,         0.741520,         0.175933,         0.000141
 1740, 15646, 1475340.958, 7871464.262,    147800.065929,     48868.963516,         3.024416,     23828.227936,     11617.094305,         2.051135,    -36476.976877,      7302.331412,        -4.995251,    -70061.505115,     13707.602868,        -5.111142,    -19663.583272,     10363.421020,        -1.897403,      9657.931445,     11185.150179,         0.863460,    -62727.491656,     10362.892582,        -6.053087,     18129.325253,     33278.785671,         0.544771,     49299.591198,     14743.698116,         3.343774,      9680.216670,     13167.033237,         0.735186,      -444.443101,       798.213168,        -0.556798,     13849.476580,     26701.297201,    -12851.820621,        -1.563904,         0.397796,         0.139255,         0.001214
 1741, 12857, 1903473.68, 7618879.212,    -10831.028690,     58657.044768,        -0.184650,     26702.070963,      8404.173679,         3.177239,    -30074.555978,     10403.352651,        -2.890852,     14512.599737,     14622.439252,         0.992488,      5436.149768,     11435.929071,         0.475357,     19783.879210,     10618.345414,         1.863179,    -17831.896143,     11956.635762,        -1.491381,    -48533.228306,     25223.254026,        -1.924146,    -11503.234112,     16698.689696,        -0.688870,     -4505.140689,     17945.429131,        -0.251047,     -2200.607880,      1717.471677,        -1.281307,     30256.727380,     29954.518505,       302.208875,         0.035641,         0.517662,         0.083594,         0.000000
 1742, 11845, 1814043.024, 7308598.458,     89430.094069,     55988.739792,         1.597287,     -1640.215760,      6557.050935,        -0.250145,      4690.355117,      8331.361729,         0.562976,    -14338.649650,     12621.749173,        -1.136027,    -13608.461105,     11677.601776,        -1.165347,     10187.254051,      8982.325140,         1.134144,     -4436.714214,     13360.183149,        -0.332085,    -32352.569234,     27564.938465,        -1.173686,    -25116.743259,     18811.596980,        -1.335173,      3589.128542,     15003.560620,         0.239218,     -5992.903064,      1194.285110,        -5.017984,     15539.967690,     18723.095464,     -3183.127774,        -0.370044,         0.437896,         0.056881,         0.000025
 1743, 13686, 1414692.773, 7619315.474,     55048.739328,     47507.885363,         1.158728,     23831.924760,      9401.138098,         2.535004,      5957.451812,      7861.947322,         0.757758,    -13154.196999,     13510.103667,        -0.973656,     -7358.630461,      9290.701918,        -0.792042,      3809.381837,      9883.044712,         0.385446,    -18818.146686,     10979.712932,        -1.713902,    -34328.320222,     29984.393290,        -1.144873,       650.997450,     14778.776418,         0.044049,     -2813.754487,     10155.024232,        -0.277080,     -7577.170208,       885.305359,        -8.558821,       619.663340,      8064.256756,     -7444.593416,        -0.883263,         0.609168,         0.094544,         0.000250
 1744, 6370, 1598757.562, 7505941.56,    -38781.189945,     47373.045955,        -0.818634,     36187.233335,     12118.986991,         2.985995,     15548.115588,      7926.389280,         1.961563,      7175.267728,     11470.816098,         0.625524,      2259.650307,      9039.622473,         0.249972,      5077.121753,     10475.201238,         0.484680,     21976.696724,     10683.145908,         2.057137,    -14943.451641,     22160.315223,        -0.674334,     -1116.539710,     11792.761508,        -0.094680,     -5960.301529,     15221.747581,        -0.391565,     -6367.678817,      1003.386126,        -6.346190,      3612.099592,     11452.013156,     -7839.913564,        -0.980803,         0.504216,         0.185625,         0.000673
 1745, 15134, 1375226.659, 7949201.236,     70302.660168,     46961.519212,         1.497027,     -2320.108729,     11159.545339,        -0.207904,    -35709.812062,      6364.326985,        -5.610933,    -17036.773160,     14590.217887,        -1.167685,     -1601.840773,      9765.196773,        -0.164036,       396.482054,     10921.644633,         0.036302,    -34855.118411,     10962.045758,        -3.179618,     97404.978550,     33307.651087,         2.924403,     18440.513167,     13783.987598,         1.337821,    -10001.178191,     12507.931276,        -0.799587,      -980.284603,       762.097800,        -1.286298,      2935.879885,     20564.216234,    -17628.336349,        -2.080565,         0.330248,         0.084990,         0.001233
 1746, 6237, 1851668.726, 7348547.735,     65623.818175,     52458.611106,         1.250964,     -3262.247853,      7737.240720,        -0.421629,     -5810.476036,      9174.696914,        -0.633315,     -7573.652940,     12312.460413,        -0.615121,     -3873.398169,     10855.105344,        -0.356827,      3420.683805,      9822.920270,         0.348235,    -19199.225190,     12183.345989,        -1.575858,    -35491.983318,     27922.351674,        -1.271096,    -16425.378370,     17153.985190,        -0.957526,     -3047.661929,     12136.793926,        -0.251109,     -7264.038495,      1380.480759,        -5.261963,      8720.960379,     14746.081874,     -6025.121495,        -0.698451,         0.600181,         0.051525,         0.000081
 1747, 13122, 1949995.22, 7534285.48,     10808.613070,     52336.057504,         0.206523,      4803.401398,      7096.355572,         0.676883,    -15122.635933,      9542.995152,        -1.584684,      2896.177902,     12130.337368,         0.238755,      1404.498271,     10257.823784,         0.136920,     11242.738933,     10288.336541,         1.092765,      4931.911936,     12267.360513,         0.402035,    -34612.388741,     24742.960378,        -1.398878,      1814.962511,     15433.164961,         0.117601,     -7993.221093,     13375.479226,        -0.597603,     -7233.440683,      1649.180989,        -4.386081,      8213.545698,     13928.735778,     -5715.190080,        -0.684414,         0.704384,         0.111231,         0.000180
 1748, 10348, 1762509.626, 7287256.53,     15841.412444,     58339.453299,         0.271539,      8295.725183,      7035.376805,         1.179144,      5823.034877,      7980.648456,         0.729644,      -163.319248,     13193.723585,        -0.012379,     -2270.308609,     12036.708423,        -0.188615,     19048.061188,      9688.206162,         1.966108,      -965.701683,     11514.614177,        -0.083867,    -15167.113863,     27303.347148,        -0.555504,    -18600.792665,     18607.731283,        -0.999627,      3592.441705,     15089.308838,         0.238079,     -4941.824755,      1251.001002,        -3.950296,     22585.824330,     18431.134669,      4154.689661,         0.533210,         0.400724,         0.226168,         0.000255
