Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_WHITE, se_WHITE, t_WHITE, est_HISP, se_HISP, t_HISP, est_BLWPOV, se_BLWPOV, t_BLWPOV, est_MEDINC, se_MEDINC, t_MEDINC, est_UPTOHIGH, se_UPTOHIGH, t_UPTOHIGH, est_INS, se_INS, t_INS, est_MEDICARE, se_MEDICARE, t_MEDICARE, est_MEDICAID, se_MEDICAID, t_MEDICAID, est_Male, se_Male, t_Male, est_POPDEN, se_POPDEN, t_POPDEN, y, yhat, residual, std_residual, localR2, influence, CooksD
 1898, 4714, 2004664.073, 7639422.919,     67477.594315,     66868.888829,         1.009103,      9838.461037,      6605.297520,         1.489480,    -27926.359980,     11167.753547,        -2.500625,      1797.796209,     16985.765091,         0.105841,    -10576.714886,     13016.415687,        -0.812567,      6130.228828,     14375.714895,         0.426429,     -4919.407475,     12742.609981,        -0.386060,      6020.386877,     35975.429497,         0.167347,      9476.301187,     18133.063483,         0.522598,       614.487080,     18972.994615,         0.032387,     -6136.368508,      2031.410595,        -3.020743,     26909.734820,     22580.224346,      4329.510474,         0.568395,         0.689637,         0.336730,         0.000269
 1899, 15329, 1766070.543, 7725058.754,    -53325.331121,     72356.562357,        -0.736980,       890.791345,     15288.925990,         0.058264,     -7352.740836,     12791.305198,        -0.574823,      1612.118771,     18956.890300,         0.085041,     15343.472689,     15373.627403,         0.998039,      8589.758942,     14175.118423,         0.605974,     -2099.759363,     14753.700008,        -0.142321,    -21196.419224,     34552.324515,        -0.613459,     11006.374299,     21820.471573,         0.504406,     -6130.396224,     22360.985983,        -0.274156,     -4218.085679,      1908.761172,        -2.209855,      4419.025062,      3924.999874,       494.025188,         0.060875,         0.614896,         0.247106,         0.000002
 1900, 11509, 1522105.207, 7374837.079,    122482.373384,     59217.748827,         2.068339,     59140.629631,     13729.877748,         4.307440,     26770.286059,     11326.323624,         2.363546,      6405.460323,     15104.260343,         0.424083,    -27791.516840,     12546.387876,        -2.215101,    -39555.850867,     16623.577090,        -2.379503,    -20069.590967,     14914.373045,        -1.345654,     94985.638418,     35580.852210,         2.669572,     24143.617988,     19558.797266,         1.234412,     -3294.743345,     19431.474192,        -0.169557,     -9039.335811,      1227.775908,        -7.362366,      1036.359635,      3871.729082,     -2835.369447,        -0.403852,         0.655561,         0.436508,         0.000207
 1901, 10343, 1748294.533, 7268842.289,    -26382.351415,     77196.267843,        -0.341757,     16267.837210,     10613.276502,         1.532782,     11140.943347,     10377.089137,         1.073610,     16133.278680,     18461.517299,         0.873887,      5204.084407,     15878.824658,         0.327737,     24878.764936,     13640.934087,         1.823831,      1248.497574,     14679.770572,         0.085049,     -6229.133227,     36948.341435,        -0.168590,    -16553.826333,     24898.182876,        -0.664861,    -11547.540963,     20306.409354,        -0.568665,     -5277.395480,      1652.468134,        -3.193644,       689.836175,      2640.133387,     -1950.297212,        -0.247337,         0.501121,         0.289219,         0.000041
 1902, 12292, 2030668.7, 7618777.526,      4472.893815,     60986.482041,         0.073342,      7542.006739,      6328.885283,         1.191680,    -16163.198812,     12215.324668,        -1.323190,     17092.664361,     16935.006748,         1.009310,       269.058136,     12220.946833,         0.022016,      9970.579986,     13274.346701,         0.751116,      3970.230024,     12943.006937,         0.306747,     34676.267197,     32467.576931,         1.068028,    -10897.762330,     19567.548463,        -0.556930,      7802.041747,     19028.424868,         0.410020,     -7092.168995,      1940.321130,        -3.655152,      4433.915330,     12027.806856,     -7593.891526,        -0.953458,         0.743395,         0.274831,         0.000565
 1903, 12892, 1828459.53, 7170265.418,      4687.117372,     73421.458171,         0.063839,     17242.446823,     11355.135851,         1.518471,    -19462.988485,      9852.488634,        -1.975439,    -18651.613198,     19702.398185,        -0.946667,     -3555.228469,     14439.114524,        -0.246222,     19792.919866,     15332.885767,         1.290880,     -1594.513148,     20083.405588,        -0.079395,     15942.415818,     39495.697498,         0.403649,      2206.436377,     23520.256604,         0.093810,     27105.335889,     28068.787382,         0.965675,     -3086.246080,      1560.899088,        -1.977223,      1706.625247,     -2272.418273,      3979.043520,         0.507837,         0.759989,         0.298187,         0.000180
 1904, 13459, 2058681.554, 7506732.155,     62214.619424,     90783.925113,         0.685304,     13151.139589,     10130.641839,         1.298155,     55927.658141,     14757.740587,         3.789717,    -24383.397297,     25016.870000,        -0.974678,     -9692.796249,     17864.522403,        -0.542572,     14366.498333,     13510.072184,         1.063392,      1260.968531,     16506.744147,         0.076391,    -44092.435996,     41473.222926,        -1.063154,    -29864.706833,     24268.757028,        -1.230582,     -1682.207634,     23390.074593,        -0.071920,     -8246.255051,      3165.471113,        -2.605064,      1644.728932,     16251.746254,    -14607.017322,        -1.851154,         0.673658,         0.288210,         0.002277
 1905, 12119, 2003620.919, 7672459.226,    106132.152712,     78838.112129,         1.346204,     -1569.123240,      9332.638351,        -0.168133,    -28265.519195,      8363.112676,        -3.379785,     -1808.175811,     19030.407132,        -0.095015,    -11222.348447,     14529.246909,        -0.772397,      2535.225908,     13916.822758,         0.182170,    -17111.840778,     14255.258278,        -1.200388,    -37548.253311,     37500.765647,        -1.001266,    -13828.451845,     19233.516174,        -0.718977,    -26133.060225,     22524.187088,        -1.160222,     -2053.249252,      2460.040376,        -0.834640,     22246.536170,     17590.095037,      4656.441133,         0.555364,         0.559061,         0.196351,         0.000124
 1906, 15053, 1344283.178, 7787313.608,    -23147.799083,     72463.329035,        -0.319442,      8522.208742,     14704.712207,         0.579556,     -2858.399175,     12482.990357,        -0.228984,    -16341.515323,     22397.279038,        -0.729621,     12504.643520,     15202.578910,         0.822534,     22233.788941,     17726.491263,         1.254269,    -14126.416784,     15754.406359,        -0.896664,      1375.433703,     46263.606102,         0.029730,     16691.648103,     24819.177224,         0.672530,    -33880.635179,     19507.441402,        -1.736806,     -6577.782468,      1399.245984,        -4.700948,      4016.520973,      5690.718310,     -1674.197337,        -0.216878,         0.601538,         0.318765,         0.000036
 1907, 11686, 1599082.691, 7306511.5,     68807.439771,     74937.287273,         0.918200,      -228.903009,     18956.784849,        -0.012075,     -2675.035698,     15766.980781,        -0.169661,      1737.186365,     25351.101188,         0.068525,    -14069.473768,     15109.775314,        -0.931150,     -9855.796148,     23373.836324,        -0.421659,      7848.992861,     20924.024379,         0.375119,    -14877.396132,     43784.048528,        -0.339790,     10369.867820,     21764.000702,         0.476469,     53757.264109,     33780.799831,         1.591356,    -10377.018513,      1525.795383,        -6.801055,     25578.496430,     24908.217527,       670.278903,         0.082961,         0.727050,         0.253763,         0.000004
