Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_WHITE, se_WHITE, t_WHITE, est_HISP, se_HISP, t_HISP, est_BLWPOV, se_BLWPOV, t_BLWPOV, est_MEDINC, se_MEDINC, t_MEDINC, est_UPTOHIGH, se_UPTOHIGH, t_UPTOHIGH, est_INS, se_INS, t_INS, est_MEDICARE, se_MEDICARE, t_MEDICARE, est_MEDICAID, se_MEDICAID, t_MEDICAID, est_Male, se_Male, t_Male, est_POPDEN, se_POPDEN, t_POPDEN, y, yhat, residual, std_residual, localR2, influence, CooksD
 1033, 14544, 1598227.855, 7318184.113,    -53038.090280,     48118.366580,        -1.102242,     11507.035019,     16244.195592,         0.708378,    -23423.484588,     10147.997285,        -2.308188,     28285.082588,     16561.356000,         1.707897,     19846.382492,      9307.361861,         2.132332,    -14142.273213,     13378.995199,        -1.057050,    -45895.420583,     16207.976627,        -2.831656,      4086.742253,     29423.968471,         0.138892,      9645.067068,     19820.877760,         0.486612,     39701.629006,     27128.964628,         1.463441,     -5099.824126,      1802.981519,        -2.828550,     18032.534880,     21067.767091,     -3035.232211,        -0.506389,         0.606489,         0.465561,         0.000245
 1034, 15047, 1338765.591, 7786129.693,    -12565.209652,     66035.414316,        -0.190280,     14468.634500,      9012.926606,         1.605320,      3094.650671,      9088.694840,         0.340495,    -11036.762037,     17217.912760,        -0.641005,      5253.356792,     14019.317236,         0.374723,     28916.023763,     17035.819750,         1.697366,      2731.316959,     14946.743442,         0.182737,    -20292.756491,     37215.139087,        -0.545282,    -10673.358798,     20119.430873,        -0.530500,    -28924.839198,     15740.653373,        -1.837588,     -6258.345191,      1370.634143,        -4.566022,      2943.413338,      7577.518662,     -4634.105324,        -0.701192,         0.468350,         0.350258,         0.000290
 1035, 1053, 1728835.955, 7075609.546,    -11996.692352,     44875.349969,        -0.267334,     32689.779313,     13240.252450,         2.468969,     -1379.869895,      5132.824328,        -0.268832,     11422.985252,     12367.599790,         0.923622,      6092.240333,      9167.740026,         0.664530,      3022.202588,      8836.003630,         0.342033,    -19255.468777,     10668.183460,        -1.804944,     21164.129335,     24880.643641,         0.850626,     10048.260755,     14204.156929,         0.707417,    -18306.644710,     14930.829511,        -1.226097,     -5160.609701,      1215.952891,        -4.244087,     25779.641250,     21113.386105,      4666.255145,         0.802987,         0.407747,         0.497655,         0.000700
 1036, 12397, 1687530.081, 7612015.676,        65.626546,     61178.790543,         0.001073,      8736.829622,     16499.378792,         0.529525,       537.091739,     15705.867792,         0.034197,      9155.224813,     19457.914748,         0.470514,      5353.853170,     12526.316182,         0.427408,     -4959.346784,     13800.674301,        -0.359355,    -10244.785213,     16401.020885,        -0.624643,      5305.295403,     34147.622240,         0.155364,     -9859.533910,     22487.278326,        -0.438449,      2753.529190,     17415.536369,         0.158108,     -8269.176740,      2047.633363,        -4.038407,     24872.898950,     18473.464499,      6399.434451,         0.873468,         0.723690,         0.201506,         0.000211
 1037, 11893, 1675992.74, 7463503.318,     26782.846911,     52482.785445,         0.510317,     26884.440195,     11596.583975,         2.318307,     21672.143494,     13020.857502,         1.664418,     -6340.694020,     17708.222703,        -0.358065,    -13541.439076,     10492.267537,        -1.290611,       709.927447,     14410.226829,         0.049266,     33311.659645,     16515.810297,         2.016956,     -9035.669455,     42424.370606,        -0.212983,      3658.334916,     21315.669442,         0.171627,      9860.751016,     19603.859079,         0.503001,     -5183.907677,      1709.003534,        -3.033293,     23217.056490,     21548.674168,      1668.382322,         0.234595,         0.695402,         0.247624,         0.000020
 1038, 13943, 1944866.687, 7610119.153,     19295.998225,     59882.355588,         0.322232,      9424.594140,      8670.735915,         1.086943,     -9904.819191,     12453.809594,        -0.795324,      -237.415362,     18577.707002,        -0.012780,     -4565.757327,     13552.821026,        -0.336886,      4332.781202,     12371.703716,         0.350217,     17335.112787,     17158.662494,         1.010283,     13409.225138,     33261.373408,         0.403147,     -1389.863623,     22707.474136,        -0.061207,     -1785.749164,     29471.144882,        -0.060593,     -2883.282931,      2878.965301,        -1.001500,     11843.690780,     13871.045290,     -2027.354510,        -0.334003,         0.553681,         0.451924,         0.000101
 1039, 11486, 1622818.06, 7198199.765,     52428.070013,     56957.968718,         0.920469,      6059.960643,      9903.958090,         0.611873,      1216.288403,      7230.576077,         0.168215,     12717.064767,     13877.398125,         0.916387,     -4809.710844,     11654.893374,        -0.412677,    -13732.671666,     10511.804516,        -1.306405,      7552.979860,     14653.904068,         0.515424,    -20264.973175,     35923.056626,        -0.564122,     10116.918219,     15777.807706,         0.641212,    -30173.871632,     15971.638165,        -1.889216,     -3111.461424,      1724.100581,        -1.804687,     21147.164620,     20263.442007,       883.722613,         0.117976,         0.441538,         0.165304,         0.000003
 1040, 3360, 1621992.847, 7224774.508,     14771.633053,     52886.539730,         0.279308,     14109.786323,      8810.334176,         1.601504,     -4439.870833,      6533.132597,        -0.679593,     10091.005589,     13429.990301,         0.751378,       101.332059,     10721.062489,         0.009452,     -4957.679369,      9805.012478,        -0.505627,      4006.184757,     13775.703007,         0.290815,     16928.272600,     35051.706193,         0.482951,      7149.348562,     14587.816057,         0.490090,    -15900.721664,     15737.567143,        -1.010367,     -1056.260950,      1866.585896,        -0.565879,     30819.812430,     18314.979068,     12504.833362,         1.627440,         0.400906,         0.121728,         0.000402
 1041, 1738, 1755486.857, 7433933.999,     53390.444325,     53540.275475,         0.997202,     21981.034853,     10792.750848,         2.036648,     -6428.776668,     12787.759163,        -0.502729,    -19779.037019,     17383.438037,        -1.137809,    -15102.046768,     11711.164583,        -1.289543,     23214.603369,     11914.786207,         1.948386,       863.446314,     18138.108091,         0.047604,    -17075.905314,     51166.366223,        -0.333733,     -6093.556069,     20436.863112,        -0.298165,     14978.065862,     22712.591196,         0.659461,     -1005.957270,      2146.313257,        -0.468691,      9196.639523,     12447.390828,     -3250.751305,        -0.413592,         0.509298,         0.081022,         0.000017
 1042, 6581, 1704069.811, 7320001.094,     45159.922671,     53098.342595,         0.850496,      2526.843502,     10192.353360,         0.247916,    -11263.567333,     10135.140579,        -1.111338,    -10364.183606,     15208.473249,        -0.681474,      -227.955816,     10946.412127,        -0.020825,      -588.154396,     12771.878940,        -0.046051,    -22883.501770,     13513.787333,        -1.693345,     25949.487802,     39769.471776,         0.652498,     17814.282242,     16667.417806,         1.068809,     -7324.738816,     15512.447294,        -0.472185,     -4922.159794,      2574.741897,        -1.911710,      3933.759158,      5231.498158,     -1297.739000,        -0.198812,         0.601344,         0.366170,         0.000025
 1043, 11411, 1923079.011, 7564259.163,    -43796.149315,     58735.783560,        -0.745647,      8905.924227,      8571.903221,         1.038967,    -45799.809087,     12853.638074,        -3.563179,     28157.042114,     19043.033968,         1.478601,     22622.184741,     13017.132928,         1.737878,     14244.558704,     11966.868251,         1.190333,    -32028.765559,     15442.394820,        -2.074080,     -7289.125666,     24599.428107,        -0.296313,      6766.524807,     20852.693848,         0.324492,    -52128.275296,     27157.833116,        -1.919456,     -4252.543914,      2534.605366,        -1.677793,     28479.226530,     20228.515075,      8250.711455,         1.054429,         0.601712,         0.089184,         0.000119
 1044, 15210, 1814197.495, 7696008.379,      9143.008931,     19263.999118,         0.474616,     19996.839510,     10643.953694,         1.878704,     -9321.592950,     12646.404032,        -0.737094,      8286.556730,     17501.649563,         0.473473,        22.339509,       880.997267,         0.025357,     23980.834613,     11122.997778,         2.155969,     -5866.702187,     13160.690597,        -0.445775,      1804.508933,     46263.983047,         0.039005,    -21858.646191,     23111.682832,        -0.945783,    -27089.956890,     25640.814143,        -1.056517,      -474.186736,      2425.216952,        -0.195523,     14594.599110,     15111.225739,      -516.626629,        -0.067961,         0.589488,         0.140353,         0.000001
