Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_WHITE, se_WHITE, t_WHITE, est_HISP, se_HISP, t_HISP, est_BLWPOV, se_BLWPOV, t_BLWPOV, est_MEDINC, se_MEDINC, t_MEDINC, est_UPTOHIGH, se_UPTOHIGH, t_UPTOHIGH, est_INS, se_INS, t_INS, est_MEDICARE, se_MEDICARE, t_MEDICARE, est_MEDICAID, se_MEDICAID, t_MEDICAID, est_Male, se_Male, t_Male, est_POPDEN, se_POPDEN, t_POPDEN, y, yhat, residual, std_residual, localR2, influence, CooksD
  231, 10452, 1720659.257, 6933202.171,     -1327.112736,     89599.066905,        -0.014812,     20326.723559,     36756.708741,         0.553007,    -22384.624840,     26614.380035,        -0.841073,     -3372.966099,     21093.254210,        -0.159907,      5093.746709,     17607.955137,         0.289287,     -3501.544429,     15445.552024,        -0.226702,     24393.654511,     19429.036437,         1.255526,     32745.912961,     56688.707944,         0.577644,     -3567.852318,     21383.756883,        -0.166849,     19720.314421,     28019.553956,         0.703805,     -6484.732565,      1824.593500,        -3.554070,     37081.807550,     26788.144240,     10293.663310,         0.661508,         0.357864,         0.204591,         0.002449
  232, 11803, 1677612.225, 6986768.961,    -10975.656670,     87842.608094,        -0.124947,     21662.309407,     35583.735532,         0.608770,    -11447.535322,     24966.160455,        -0.458522,     -2436.980784,     20659.739825,        -0.117958,      5334.578979,     17250.791119,         0.309237,     -4111.178482,     15148.074139,        -0.271399,     24264.107759,     19121.139531,         1.268968,     35877.864666,     55381.257876,         0.647834,     -6782.870131,     20797.345254,        -0.326141,     18300.887612,     27169.765602,         0.673575,     -6894.079952,      1784.063453,        -3.864257,     66631.524790,     43111.807041,     23519.717749,         1.483389,         0.364945,         0.174201,         0.010098
  233, 13094, 1632120.051, 6988386.129,    -14265.153052,     87784.942184,        -0.162501,     27241.679570,     35425.523129,         0.768985,    -19841.642290,     25135.578512,        -0.789385,      -302.541831,     20723.150186,        -0.014599,      6811.449823,     17286.360386,         0.394036,     -3000.545497,     15172.972060,        -0.197756,     23551.336411,     19154.842248,         1.229524,     35192.497115,     55236.109480,         0.637128,     -9726.292017,     20884.358107,        -0.465721,     17080.403581,     27094.083002,         0.630411,     -6965.398763,      1785.809607,        -3.900415,     71797.778570,     45241.659210,     26556.119360,         1.645170,         0.360636,         0.144091,         0.009913
  234, 12814, 1589187.492, 7196377.277,    147849.977473,    114984.840218,         1.285821,     11840.436850,     34950.687688,         0.338776,    -10417.245928,     13750.731758,        -0.757578,        49.906019,     27868.538202,         0.001791,    -28122.195947,     21651.114148,        -1.298880,     12476.560158,     19955.110755,         0.625231,     17269.758171,     28052.889214,         0.615614,    -14169.517724,     65712.337734,        -0.215629,    -15004.899464,     25751.515442,        -0.582680,    -15764.463443,     30447.738326,        -0.517755,     -7947.058110,      2089.760852,        -3.802855,      2486.271607,      5054.245434,     -2567.973827,        -0.174348,         0.660626,         0.287368,         0.000267
  235, 6725, 1516197.309, 7173738.14,    152434.502100,    109301.303522,         1.394627,      1619.924273,     32595.312514,         0.049698,     -4501.364429,     13988.274957,        -0.321796,     -9554.175826,     26137.071084,        -0.365541,    -28203.768704,     21074.311975,        -1.338301,      1365.401766,     19044.488843,         0.071695,     16110.574789,     26328.023104,         0.611917,    -23578.500521,     63625.601968,        -0.370582,     -5976.954725,     24926.451054,        -0.239784,     -4723.428320,     30525.643822,        -0.154736,     -7214.070443,      1986.121229,        -3.632241,     18223.154340,      4962.626281,     13260.528059,         0.834765,         0.618612,         0.171079,         0.003129
  236, 9704, 1226293.396, 7422806.448,    283812.240653,    105776.625817,         2.683128,    -42881.835801,     33924.165957,        -1.264050,     -9334.243314,     17204.730132,        -0.542539,    -48908.338361,     30251.694309,        -1.616714,    -30979.503193,     21327.005243,        -1.452595,      4314.825345,     20978.097118,         0.205682,    -20128.908217,     25331.834290,        -0.794609,     36118.797894,     49683.433679,         0.726979,     42554.887327,     37595.712301,         1.131908,    -70745.279424,     29330.539841,        -2.412001,    -12911.008809,      1934.562865,        -6.673864,      1131.619740,     -2846.660871,      3978.280611,         0.282250,         0.626630,         0.347407,         0.000923
  237, 9701, 1225387.641, 7421513.739,    285409.526672,    105798.854712,         2.697662,    -42709.647654,     33939.301257,        -1.258413,     -9462.544675,     17223.552285,        -0.549396,    -49211.369237,     30262.213281,        -1.626166,    -31282.130753,     21331.847105,        -1.466452,      4493.823781,     20987.552298,         0.214119,    -20450.301966,     25328.133684,        -0.807414,     35838.871307,     49695.115702,         0.721175,     42836.092977,     37617.096251,         1.138740,    -70819.370117,     29339.030445,        -2.413828,    -12918.208172,      1935.254827,        -6.675197,      1371.440586,     -6070.687792,      7442.128378,         0.508239,         0.626898,         0.295666,         0.002359
  238, 11809, 1683251.885, 7014781.38,    -16631.009785,     87670.984890,        -0.189698,     19787.725800,     35271.284103,         0.561015,      1951.710905,     24164.776931,         0.080767,     -2722.784871,     20518.659762,        -0.132698,      4805.091409,     17169.792571,         0.279857,     -5226.744098,     15108.853497,        -0.345939,     24384.633614,     19031.144213,         1.281301,     38019.481412,     55266.881824,         0.687925,     -7908.995029,     20550.255851,        -0.384861,     17065.056434,     26957.036850,         0.633046,     -7215.820740,      1774.790233,        -4.065732,     40978.177280,     29077.813054,     11900.364226,         0.710987,         0.370846,         0.079725,         0.000953
  239, 545, 1646400.41, 7061980.145,    -28452.296382,     92939.563990,        -0.306138,     24088.927559,     35807.652710,         0.672731,     37690.804103,     23882.618818,         1.578169,       716.250217,     21616.777810,         0.033134,      3328.008117,     18146.759693,         0.183394,     -7196.055374,     16573.347975,        -0.434194,     21569.424845,     20285.759234,         1.063279,     22916.348557,     60461.292581,         0.379025,    -17140.316115,     21596.666071,        -0.793656,      1030.466155,     28610.582838,         0.036017,     -8803.812742,      1844.138865,        -4.773942,     47937.242370,     53698.323849,     -5761.081479,        -0.400182,         0.374288,         0.319210,         0.001634
  240, 3901, 1568752.034, 7179434.151,    161221.834394,    115938.686345,         1.390578,      3656.757970,     34116.591488,         0.107184,     -4874.954777,     14070.269678,        -0.346472,     -5595.504704,     27501.960234,        -0.203458,    -30065.174497,     21900.152973,        -1.372829,      8100.978661,     20028.457911,         0.404473,     20849.427835,     27597.933756,         0.755471,    -27749.879188,     67071.213913,        -0.413738,    -14282.631446,     25963.642153,        -0.550101,    -15472.445018,     30565.802058,        -0.506201,     -8045.646781,      2046.534276,        -3.931352,     13768.553510,     25423.217114,    -11654.663604,        -0.724121,         0.653164,         0.149063,         0.001998
