Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_WHITE, se_WHITE, t_WHITE, est_HISP, se_HISP, t_HISP, est_BLWPOV, se_BLWPOV, t_BLWPOV, est_MEDINC, se_MEDINC, t_MEDINC, est_UPTOHIGH, se_UPTOHIGH, t_UPTOHIGH, est_INS, se_INS, t_INS, est_MEDICARE, se_MEDICARE, t_MEDICARE, est_MEDICAID, se_MEDICAID, t_MEDICAID, est_Male, se_Male, t_Male, est_POPDEN, se_POPDEN, t_POPDEN, y, yhat, residual, std_residual, localR2, influence, CooksD
   88, 4020, 900970.5562, 7524267.286,      -174.480456,     19514.774477,        -0.008941,     -5122.995451,      3333.241964,        -1.536941,      8629.073956,      8182.146220,         1.054622,      3864.646771,      3533.794207,         1.093625,      2430.054862,      3311.576137,         0.733806,       767.849959,      3258.123285,         0.235672,     -1544.894082,      4377.788156,        -0.352894,     -7397.072699,     10032.029486,        -0.737346,     -1346.843310,      3765.353341,        -0.357694,     -7210.919289,      6800.943076,        -1.060282,     -1907.345317,       979.027134,        -1.948205,      6123.292732,      5213.488357,       909.804375,         0.943755,         0.725602,         0.706194,         0.004891
   89, 11967, 1551036.664, 7044834.484,     12912.996531,     21230.986420,         0.608215,     -1090.613228,      5410.582611,        -0.201570,      -406.118215,     11616.390932,        -0.034961,      1253.357819,      4052.306920,         0.309295,     -1287.913530,      3239.202290,        -0.397602,      -183.806646,      2927.808225,        -0.062780,      -389.672739,      3219.626567,        -0.121030,     -3641.374030,     11395.869486,        -0.319535,     -1133.697074,      4273.736160,        -0.265271,      2471.472621,      6542.130224,         0.377778,     -1283.516908,      1449.026517,        -0.885779,      1580.549577,      2106.018476,      -525.468899,        -0.339576,         0.661322,         0.242986,         0.000085
   90, 3977, 916783.0988, 7503729.411,     12255.274092,     22778.529202,         0.538019,      3216.847772,      1911.133593,         1.683214,      -425.419153,      4801.592367,        -0.088600,     10051.130086,      4492.789289,         2.237169,     -3561.634461,      4675.042538,        -0.761840,     27347.466286,      2736.582252,         9.993292,      6441.603019,      3557.556443,         1.810682,    -28352.402629,     10746.516462,        -2.638288,    -11805.552762,      4344.912897,        -2.717098,     21628.946049,      6184.839118,         3.497091,     -3647.739120,       481.140237,        -7.581447,     28581.406450,     24695.741163,      3885.665287,         3.541494,         0.734675,         0.619425,         0.046636
   91, 6311, 1756968.075, 6869351.816,      8445.553759,     16234.729215,         0.520215,     -2096.213227,      5137.560160,        -0.408017,     -7024.137493,      8514.672669,        -0.824945,     -2017.219391,      3182.227710,        -0.633902,      3077.259659,      3250.433293,         0.946723,      3030.783134,      3917.058916,         0.773739,     -5188.888611,      4723.705217,        -1.098478,    -24920.116228,     11417.727728,        -2.182581,      3033.783912,      4669.693312,         0.649675,      -375.424975,      6439.562600,        -0.058300,     -1426.704759,       824.730622,        -1.729904,      7229.772557,      5619.760920,      1610.011637,         1.230040,         0.760932,         0.458370,         0.002925
   92, 5436, 904449.4049, 7536550.936,     43040.681653,     18165.321143,         2.369387,       758.969876,      3553.527510,         0.213582,     -5704.543036,      3542.460851,        -1.610333,     -2354.683898,      5063.740226,        -0.465009,     -3377.516054,      3153.028901,        -1.071197,     -3892.099093,      3475.960792,        -1.119719,     -3788.022204,      3705.149992,        -1.022367,     10572.502666,     11029.167102,         0.958595,      1798.995350,      5148.753694,         0.349404,     -5902.928527,      5021.791154,        -1.175463,     -3514.533407,      2646.149440,        -1.328169,      3921.592368,      4242.939727,      -321.347359,        -0.236099,         0.842362,         0.414342,         0.000090
   93, 5293, 1737711.683, 6893468.417,     -9024.789879,     16487.104336,        -0.547385,      5572.379837,      3526.700402,         1.580055,      5046.480314,      2213.776778,         2.279580,      2008.652300,      3332.440418,         0.602757,      3549.844649,      3308.178419,         1.073051,     -1032.906544,      2969.380692,        -0.347853,      1179.783839,      3774.521988,         0.312565,     -3855.123557,      7183.261990,        -0.536681,      9475.819980,      3901.196164,         2.428952,    -10984.993034,      6464.451997,        -1.699292,     -3212.710298,       563.650496,        -5.699827,      5647.281269,      3306.029056,      2341.252213,         1.731812,         0.792601,         0.422199,         0.005007
   94, 2796, 904233.1513, 7532087.414,      7819.979613,     13067.092495,         0.598448,      -314.343993,      3391.461806,        -0.092687,     -5915.158213,      3830.553461,        -1.544205,     -3521.132300,      4342.281705,        -0.810894,      -112.488059,      2852.260167,        -0.039438,       -35.915272,      3728.297269,        -0.009633,      2368.297610,      3285.658367,         0.720798,     12038.696338,     10851.845761,         1.109369,      7629.960054,      5620.900406,         1.357427,     -5229.819942,      6843.015651,        -0.764257,       221.545609,      1323.370129,         0.167410,      2417.985310,      3177.734798,      -759.749488,        -0.534102,         0.775536,         0.360302,         0.000367
   95, 14457, 1679274.521, 6899609.781,     -8954.927504,     12603.100106,        -0.710534,      2910.453558,      3154.049641,         0.922767,      4643.588674,      4297.093887,         1.080635,     -1677.021097,      3157.711638,        -0.531087,      1230.848396,      2513.616012,         0.489672,      1724.548835,      3174.906788,         0.543181,     -1161.335928,      3586.365932,        -0.323820,     -4294.789875,      8113.276117,        -0.529353,       -46.002150,      5450.090432,        -0.008441,     -4603.937760,      5176.936645,        -0.889317,       760.383830,      1251.786892,         0.607439,      1531.570712,      1644.013468,      -112.442756,        -0.084023,         0.664718,         0.433825,         0.000012
   96, 6280, 1758384.938, 6864326.307,      4056.397507,     17904.349175,         0.226559,     -5243.407668,      6048.332282,        -0.866918,      1332.073898,      9053.283699,         0.147137,     -2181.872412,      3700.509665,        -0.589614,      4429.250547,      3593.623795,         1.232530,       503.461894,      4253.371991,         0.118368,     -6016.063907,      5107.847017,        -1.177808,    -35299.885226,     12911.660506,        -2.733954,      5070.895652,      5201.707345,         0.974852,     -3378.861910,      6806.813061,        -0.496394,     -2368.465493,       764.610354,        -3.097611,     10476.074620,     10797.042508,      -320.967888,        -0.268722,         0.838858,         0.548977,         0.000201
   97, 5170, 1552815.919, 7045184.435,     15321.888762,     21318.668456,         0.718708,     -4464.919620,      5916.363392,        -0.754673,      -528.661490,     10170.456406,        -0.051980,      2733.602443,      4616.361203,         0.592155,     -1365.224451,      3606.787503,        -0.378515,         2.983651,      3061.705731,         0.000975,       572.480048,      3520.761549,         0.162601,     -6478.122804,     13574.184993,        -0.477238,     -3335.978879,      4919.231595,        -0.678150,      3041.090600,      6738.019261,         0.451333,     -1195.023065,      1331.898448,        -0.897233,      1519.610072,      1581.096896,       -61.486824,        -0.055414,         0.741154,         0.610770,         0.000011
   98, 4000, 908591.4821, 7519308.28,    -20342.191705,     20492.617794,        -0.992659,     -3708.506587,      1988.865272,        -1.864634,      4053.443682,      5425.970089,         0.747045,      9119.466919,      3717.185765,         2.453326,      8142.021474,      3830.652878,         2.125492,     -4183.042201,      2575.670909,        -1.624059,     -5554.719713,      3662.636246,        -1.516591,     23170.745665,      9865.617542,         2.348636,      3908.535422,      4564.101539,         0.856365,      6738.939944,      6114.353179,         1.102151,     -3118.574348,       725.769425,        -4.296922,     11002.032520,     12871.217017,     -1869.184497,        -1.547845,         0.786186,         0.538967,         0.006399
   99, 7916, 899348.7669, 7534984.442,     -8499.003102,     15000.561403,        -0.566579,      -618.667150,      2873.661851,        -0.215289,      -831.879438,      3361.826297,        -0.247449,      2966.476854,      3394.450334,         0.873920,      2603.431973,      2989.711593,         0.870797,       202.891443,      2676.582517,         0.075802,       118.344141,      3821.306231,         0.030970,       505.187145,      7653.081164,         0.066011,      1200.714648,      4769.025751,         0.251774,     -2223.327883,      4567.535857,        -0.486767,      1200.762026,      1187.085561,         1.011521,      7213.200673,      6740.281239,       472.919434,         0.321361,         0.602546,         0.315345,         0.000109
  100, 14445, 1680740.324, 6898291.036,    -15235.567138,     12856.058191,        -1.185089,      5902.192922,      3539.637121,         1.667457,      6084.561289,      4551.132878,         1.336933,     -2347.645239,      3310.835533,        -0.709079,      1866.222071,      2673.459907,         0.698055,      2871.164801,      3226.519340,         0.889864,       751.199617,      3113.315781,         0.241286,     -4324.562769,      8617.701685,        -0.501823,      1718.764245,      4195.143682,         0.409703,     -5391.157487,      4914.589058,        -1.096970,       195.092596,      1218.112476,         0.160160,      2637.945155,      2396.088427,       241.856728,         0.193690,         0.780285,         0.507071,         0.000088
  101, 4890, 1767377.76, 6883223.161,     72543.706286,     27445.576478,         2.643184,    -29042.359232,      5118.829205,        -5.673633,    -52457.393818,      3426.192046,       -15.310699,    -13539.671061,      5355.384902,        -2.528235,     -3395.118180,      4773.795370,        -0.711199,     38480.944158,      3922.948649,         9.809189,     19438.685270,      5025.988000,         3.867635,     48868.390941,     10462.143089,         4.670973,     -7380.507773,      4915.614498,        -1.501442,     -8101.850087,      8065.718332,        -1.004480,       441.868084,       553.033920,         0.798989,     18614.809840,     16919.416601,      1695.393239,         2.257686,         0.912972,         0.821722,         0.053673
  102, 11905, 1547967.758, 7052442.583,    -23061.303817,     18997.590228,        -1.213907,      7644.082035,      4962.431680,         1.540390,     -2688.905410,      5830.783799,        -0.461157,       694.364861,      4616.210857,         0.150419,      5260.494556,      3798.214383,         1.384991,      1705.233471,      3429.744461,         0.497190,     -3473.446220,      3337.328617,        -1.040786,      7087.736700,     14008.756906,         0.505950,      5747.079339,      5134.246407,         1.119362,      1603.856222,      6686.819505,         0.239853,      -995.273608,      1087.103748,        -0.915528,      4105.705459,      3293.685448,       812.020011,         0.615592,         0.681217,         0.449915,         0.000708
  103, 5177, 1551738.564, 7047450.208,      8145.031074,     21128.396598,         0.385502,      -417.211032,      5160.779197,        -0.080843,     -6214.141674,      6967.223880,        -0.891911,      5509.034176,      4973.034897,         1.107781,       265.856601,      3933.557215,         0.067587,     -2142.609525,      3266.031479,        -0.656028,       309.599003,      3058.434811,         0.101228,     -2767.769947,     12861.721599,        -0.215194,     -2741.025139,      4272.281610,        -0.641583,      1278.915884,      6309.458853,         0.202698,      -541.279538,      1264.496503,        -0.428059,      1023.476702,      1386.550513,      -363.073811,        -0.295835,         0.664352,         0.523816,         0.000220
  104, 4516, 1708240.261, 6895111.972,     48378.846983,     15629.273334,         3.095400,     -6217.668585,      3676.169526,        -1.691344,      3872.527373,      2736.797133,         1.414985,     -8750.665011,      4017.557197,        -2.178106,     -6115.397673,      3131.116996,        -1.953104,      2730.836071,      2622.011255,         1.041504,      -338.568431,      3869.050745,        -0.087507,      4035.622032,     10422.122925,         0.387217,      4457.482858,      4086.362415,         1.090819,     -7245.730368,      5879.462356,        -1.232380,     -3831.552256,       609.525133,        -6.286127,      5603.830190,      6357.421282,      -753.591092,        -0.562471,         0.743097,         0.432515,         0.000551
  105, 4509, 1707685.795, 6894366.329,     43989.813452,     15203.885825,         2.893327,     -6576.920088,      3614.260033,        -1.819714,      3638.849222,      2682.371831,         1.356579,     -7746.925494,      3882.498375,        -1.995345,     -5139.188092,      3029.332293,        -1.696476,      2630.235217,      2585.207238,         1.017418,      -634.043794,      3763.971477,        -0.168451,      1763.276317,     10535.339027,         0.167368,      4110.615116,      3967.686008,         1.036023,     -7129.823009,      5831.522715,        -1.222635,     -3659.991939,       580.541987,        -6.304440,      5102.757500,      6146.682818,     -1043.925318,        -0.702118,         0.727671,         0.301121,         0.000485
